"","id.new","date.col","RM","features","Provenance","NEW.TLS","WT","vat.cum","year","Wr","hatch","Sr","Ba","Mn","P","Cu","Mg"
"1","LFA01",2019-02-11,-4.15,"Glen C.","Lees Ferry",134.9141,26,0,"2019",NA,2019,4.27962917111035,0.0136298238333753,0.00219499333456199,85079.0575418095,0.000820466410390325,0.0261492786565477
"2","LFA02",2019-04-19,-14.17,"Glen C.","Lees Ferry",149.1451,38.8,0,"2019",NA,2019,3.27020453895883,0.00803134589213822,0.00270569659356848,24373.406916215,0.000633922622075945,0.0233332324756491
"3","LFA03",2019-04-19,-14.17,"Glen C.","Lees Ferry",147.1121,31.7,0,"2019",NA,2019,4.29901578645905,0.013978302396272,0.00271830833989477,39023.4620546898,0.00158235430820011,0.0279272642971538
"4","LFA04",2019-04-19,-13.69,"Glen C.","Lees Ferry",159.3101,44.1,0,"2019",NA,2019,3.46463712356115,0.0116825555092977,0.00181620458446529,74407.7290525382,0.00111448514859632,0.0273936839011001
"5","LFA05",2019-02-10,-4.46,"Glen C.","Lees Ferry",154.2276,34,0,"2019",NA,2019,3.84277555442261,0.00952541226414754,0.00203306436816678,51947.633359096,0.00294087664514056,0.0335177129698621
"6","LFA06",2019-02-10,-4.06,"Glen C.","Lees Ferry",149.1451,31,0,"2019",NA,2019,3.54282487265072,0.011135575900175,0.00162230967068662,78032.546708057,0.00195680742979537,0.0316605449931417
"7","LFA07",2019-04-28,-8.37,"Glen C.","Lees Ferry",105.4356,11.8,0,"2019",NA,2019,3.21978794611818,0.00719591866658965,0.00133773378881795,45842.3640372267,0.0011042595142482,0.0224558699007904
"8","LFA08",2022-09-10,-14.17,"Glen C.","Lees Ferry",114,14.1,0,"2022",84.6799811553032,2022,3.94458849540108,0.0200933343479406,0.00397737343172986,509777.884711008,0.000707028387047048,0.16460135668265
"9","LFA09",2022-09-10,-14.17,"Glen C.","Lees Ferry",100,9.6,40,"2022",84.9710985437602,2022,3.87073969431765,0.0247726714510973,0.0025132432001629,1004737.69799149,0.00115920361589069,0.354472421766141
"10","LFA10",2022-09-11,-14.17,"Glen C.","Lees Ferry",99,11.8,4,"2022",107.597413427767,2022,4.06869798658845,0.0167501765797559,0.00406051693517608,896374.138238754,0.000775123306627182,0.325437885652367
"11","LFA11",2022-09-11,-14.17,"Glen C.","Lees Ferry",94,8.1,2.5,"2022",86.1046433531769,2022,4.28267541952638,0.0209271919434108,0.00372644894544028,401412.183250869,0.000942836200792107,0.164724326559334
"12","LFA12",2022-09-11,-14.17,"Glen C.","Lees Ferry",85,6.3,0,"2022",90.2112144249114,2022,4.26969812788103,0.0170655103066584,0.00502643506601073,288532.269008677,0.000991683530322072,0.113582525609407
"13","LFA13",2022-09-11,-14.17,"Glen C.","Lees Ferry",104,9.8,0,"2022",77.2337978961619,2022,3.79623683047214,0.0142099215977641,0.00320893371686869,482455.669143085,0.000693083079895156,0.162897320737841
"14","LFA14",2022-09-10,-14.17,"Glen C.","Lees Ferry",85,6.6,0,"2022",94.5069865403834,2022,3.60778737163775,0.0164637023525672,0.00452075815082986,352131.627364836,0.000502564624441885,0.0991593502910795
"15","LFA15",2022-09-10,-14.27,"Glen C.","Lees Ferry",103,10,30,"2022",81.0964446785117,2022,4.34103255129742,0.0214806414077921,0.00541776429408606,818400.71179247,0.000744434451988381,0.186160727673928
"16","LFA23",2022-09-12,-12.84,"Glen C.",NA,391,599,0,"2022",NA,2019,3.94120511091056,0.0177356426498192,0.00396831166901613,300856.493311065,0.000725575227432655,0.099867112116129
"17","LFA24",2022-09-13,-4.1,"Glen C.",NA,502,1023,0,"2022",NA,2016,3.88857674439206,0.0211668222774797,0.00526183367343225,215634.410206466,0.00131403540118382,0.0782447661772551
"18","LFA25",2022-09-12,-12.83,"Glen C.",NA,425.448632785379,716,11.5,"2022",NA,2018,3.58416533906578,0.0211950807930748,0.00415565392205691,136177.285512967,0.00112131870212716,0.0768055805371462
"19","LFA26",2022-09-14,-3.04,"Glen C.",NA,382.730507276305,519,41.5,"2022",NA,2019,4.2264991330185,0.0213037019936675,0.00316029212575972,591214.791977235,0.000981318763108192,0.207385194294362
"20","LFA27",2022-09-13,-3.5,"Glen C.",NA,380.694154788434,451,13.5,"2022",NA,2019,3.26129009708966,0.0122956661854146,0.00221289843980605,331132.211013089,0.000799071440167995,0.115389460877262
"21","MGR01",2018-06-15,-4.3,"Glen C.",NA,420.57,991,0,"2018",NA,2014,3.31059506950767,0.0110104055821066,0.00453354755148968,25115.8217828207,0.000678610492088262,0.0299540206097501
